Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
ENSDARG00000056744	ela2												0.7	1	2	2	29	1066	2207
ENSDARG00000056745	necab2	0.5	0.6	1	0.8	0.4	0.6	0.6	1	2	2	3	5	9	13	21	47	42	42
ENSDARG00000056750	si:ch211-254p10.2					0.5	0.5	1						0.5	1	2	1	1	0.7
ENSDARG00000056753	dctn1b			0.2	0.6	0.4	1	0.8	0.3	0.2	0.2	0.8	2	3	5	8	14	18	21
ENSDARG00000056757	slc39a8												0.1			0.5	5	9	5
ENSDARG00000056762	zgc:172079								0.4			0.3	0.5	0.4	0.8	0.4	0.4	0.6	1
ENSDARG00000056764	hydin	0.8	0.9	2	3	1	0.8	0.5	0.3	0.4	0.3	0.7	0.4	0.5	0.2	0.4	0.4	0.7	0.7
ENSDARG00000056765	ela2l																18	603	1274
ENSDARG00000056767	itgb3a											0.8	7	9	7	12	11	10	6
ENSDARG00000056768	rprml														0.7	2	6	9	9
ENSDARG00000056774	gpr37l1b													0.8	1	3	9	12	11
ENSDARG00000056780	ssh1a	3	6	24	20	7	0.5	0.4	0.3	2	1	1	2	1	1	1	1	2	2
ENSDARG00000056781	zanl																4	36	39
ENSDARG00000056783	raraa	0.8	2	3	4	3	18	22	25	61	37	36	34	29	21	22	22	20	19
ENSDARG00000056784	aire									1	0.4								
ENSDARG00000056791	pde6ga																4	8	12
ENSDARG00000056793	jazf1b	10	14	5	7	7	4	3	4	7	3	5	7	5	6	8	9	9	10
ENSDARG00000056794	arl3a			0.9	3	2	2	1		5	2	4	1	2	2	0.9	2	2	2
ENSDARG00000056795	serpine1	54	23	8	6	2	1	0.4	0.5	5	4	7	8	8	5	7	10	9	11
ENSDARG00000056797	ppp2r2ca	2	2	3	4	3	1	0.6	0.6	2	0.7	0.4	1	2	3	6	16	18	17
ENSDARG00000056798	zgc:123297						0.4	0.8		0.7	0.3	0.3	0.2		0.3			1	1
ENSDARG00000056801	sufu	226	205	205	192	178	89	43	43	50	43	40	34	29	24	26	24	20	19
ENSDARG00000056803	ap1s1	177	201	167	165	203	205	175	133	53	58	69	59	58	60	39	50	37	28
ENSDARG00000056804	si:dkey-40g16.6													0.4	0.8	2	0.7	0.4	
ENSDARG00000056805	plch2b				0.2										0.1	0.2	2	2	3
ENSDARG00000056806	pde5aa	0.6	0.7	1	1	0.3				0.5		0.7			0.4	0.7	2	2	3
ENSDARG00000056819	hoxa9b									47	40	29	21	24	22	26	15	12	9
ENSDARG00000056829	zmp:0000000662	5	7	31	36	38	20	9	7	14	10	13	10	9	11	10	11	13	10
ENSDARG00000056830	si:ch211-107m4.1	53	65	97	91	58	23	13	16	14	8	7	5	4	4	2	2	2	2
ENSDARG00000056831	gng2	3	8	6	5	11	11	6	9	21	27	33	36	42	67	101	72	51	48
ENSDARG00000056832	exo1	100	90	112	114	53	27	28	32	25	19	18	21	15	11	5	2	3	1
ENSDARG00000056833	svopa	0.4	0.8	1	0.7	0.7							0.6	1	2	2	4	5	5
ENSDARG00000056835	laynb									0.5	0.5	0.5	0.6	1	0.6	1	2	3	3
ENSDARG00000056836	si:ch211-125o16.4			0.2	0.1	100	356	337	233	33	20	39	58	66	36	56	51	70	68
ENSDARG00000056838	pimr93					1	0.2	0.5	1	1	0.9	1	1	0.8	0.6	0.3			
ENSDARG00000056840	otud5b	11	34	82	70	47	25	21	29	40	32	36	37	33	41	37	36	34	29
ENSDARG00000056842	usp30	9	11	28	29	7	1	1	1	4	4	3	3	2	3	1	2	3	1
ENSDARG00000056847	si:dkey-27c15.3	1	2	19	18	7	6	8	9	10	7	6	6	5	6	4	4	4	5
ENSDARG00000056855	gatc	8	5	2	4	9	25	35	23	18	19	21	22	28	23	33	32	26	21
ENSDARG00000056856	tax1bp1b	75	63	45	42	43	33	33	36	56	51	54	54	55	59	60	65	73	80
ENSDARG00000056859	spx														3	5	1	2	1
ENSDARG00000056862	cep63	1	2	37	48	23	7	7	7	11	11	12	12	11	14	8	6	8	9
ENSDARG00000056871	ap4m1	4	4	18	16	5	7	10	10	13	11	9	6	5	8	7	7	6	5
ENSDARG00000056873	and3								0.7		0.6		2	52	49	230	249	215	154
ENSDARG00000056874	lygl1											2	4	7	6	7	6	29	18
ENSDARG00000056877	vamp2		1		0.8	0.8					2	9	14	25	41	62	143	139	134
ENSDARG00000056885	per1a			0.1						0.5	0.2	0.2	0.2	0.1	0.4	0.5	8	11	12
ENSDARG00000056886	tbccd1	16	18	69	68	34	30	32	32	17	17	16	13	13	12	7	4	4	4
ENSDARG00000056888	dnah5l						0.1				0.3	0.4	0.7	0.9	0.4	0.6	0.8	0.9	0.9
ENSDARG00000056892	mpp6a	24	34	38	38	23	9	10	14	20	17	16	11	10	11	10	16	13	11
ENSDARG00000056896	ttc12			0.4	0.3	0.3				0.8	1	1	0.9	0.7	0.4	0.5	0.8	0.5	0.4
ENSDARG00000056903	mrpl13	179	180	96	125	102	99	77	76	97	97	98	92	78	89	60	69	52	36
ENSDARG00000056909	LO018309.1						0.4	0.3	0.6	0.6		0.6	0.2			0.2	0.9	2	4
ENSDARG00000056910	CU234171.1												0.3	0.5	0.6	0.4	3	5	4
ENSDARG00000056913	pcolcea								1	12	22	33	51	47	23	40	34	34	23
ENSDARG00000056914	emg1	3	5	9	10	30	81	133	153	175	147	124	71	39	44	19	19	16	13
ENSDARG00000056915	si:ch211-237l4.6									0.9					0.9	2	9	17	22
ENSDARG00000056917	si:rp71-45g20.4										0.4	0.4			0.4	0.4			
ENSDARG00000056920	tmem88a									21	11	26	24	15	13	12	6	5	4
ENSDARG00000056921	ankk1								1	4	1	1	2	2	1	1	2	3	2
ENSDARG00000056922	ltbp1	0.1	0.3	1	1	0.2	0.2	0.1		0.6	0.9	2	3	4	2	5	10	12	10
ENSDARG00000056923	dbr1	194	248	244	216	208	147	88	28	34	30	32	25	23	26	19	17	15	13
ENSDARG00000056924	sap130a	17	30	96	83	55	23	26	31	26	21	23	21	18	22	19	15	14	15
ENSDARG00000056926	drd2a												0.3		0.4	0.8	1	2	2
ENSDARG00000056929	kdm6bb		0.2	0.8	0.6	0.6	0.1	0.8	1	3	3	7	15	22	23	37	35	36	31
ENSDARG00000056932	tfip11	42	48	48	42	35	27	32	32	26	21	19	21	16	16	14	12	10	9
ENSDARG00000056934	hepacama									1	0.6	0.9	1	2	5	11	34	24	24
ENSDARG00000056938	kera					0.6		0.3		0.3	2	9	32	48	51	53	43	33	35
ENSDARG00000056949	htr7a																	0.9	0.4
ENSDARG00000056950	epyc					7	5	5	2		0.1	0.8	14	39	46	62	99	83	64
ENSDARG00000056954	si:dkeyp-38g8.5		1	8	11	22	35	48	61	19	18	18	13	16	13	12	8	8	8
ENSDARG00000056961	ccdc30	7	7	11	12	2	2	2	6	9	7	7	5	4	4	3	2	3	2
ENSDARG00000056964	ilk	8	14	86	86	81	88	61	39	54	48	60	60	56	49	47	46	42	37
ENSDARG00000056966	nek7	18	23	15	15	13	10	8	8	10	8	10	13	12	9	10	13	16	15
ENSDARG00000056976	ifit16					0.4													
ENSDARG00000056978	letm1	5	9	15	14	13	16	14	20	24	11	10	8	6	7	6	8	11	9
ENSDARG00000056979	lhx9					1				6	7	7	8	16	38	50	31	29	29
ENSDARG00000056984	rad9a	2	5	43	46	30	13	16	17	19	17	16	14	11	9	6	3	4	3
ENSDARG00000056985	tpte	2	4	26	41	30	14	11	8	17	14	22	33	27	21	26	22	19	16
ENSDARG00000056986	dact2	0.3	2	35	34	45	47	64	74	85	34	23	13	8	7	8	6	5	5
ENSDARG00000056995	snai1a	242	224	167	147	210	337	331	211	76	48	42	27	19	20	20	16	13	13
ENSDARG00000056998	kirrel1b	0.6	0.4	4	4	9	0.2		0.2	10	5	4	4	4	6	7	12	11	11
ENSDARG00000057000	camkvl	21	12	7	8	1	0.6							0.3	0.7	1	11	13	15
ENSDARG00000057004	si:ch211-287a12.9	0.6	2	4	3					0.6				0.7	1	3	4	5	5
ENSDARG00000057006	fam241a	36	47	56	60	22	6	6	7	8	6	7	6	6	6	6	13	16	15
ENSDARG00000057007	ctbp1	343	336	347	331	327	283	288	266	161	158	193	205	185	195	168	85	75	64
ENSDARG00000057010	si:dkey-154b15.1	1	3	9	14	9	10	6	7	8	9	7	6	4	7	4	5	5	6
ENSDARG00000057011	dpm1	15	9	7	18	11	5	6	9	15	15	17	13	14	12	11	12	11	8
ENSDARG00000057013	cadm3				0.5					2	5	9	10	21	39	29	29	27	29
ENSDARG00000057016	cdc14ab	21	35	71	85	62	38	34	37	42	30	24	19	18	19	17	15	16	18
ENSDARG00000057017	slc6a4b																0.9	1	1
ENSDARG00000057021	vps36	3	4	26	26	21	18	14	14	15	12	13	14	13	10	11	12	12	9
ENSDARG00000057025	chrna2b				0.1							0.3	1	1	2	2	3	3	3
ENSDARG00000057026	ran	183	520	583	640	865	1444	1640	1680	2011	2078	1929	1477	1239	1198	783	525	480	435
ENSDARG00000057027	rtn2b		1	3	4	3	0.9			1	2	4	14	27	33	37	39	33	24
ENSDARG00000057029	htr2aa																1	2	0.8
ENSDARG00000057032	ppm1nb											0.4	1	2	2	4	21	24	24
ENSDARG00000057035	stoml3b				1	0.6										1	42	79	58
ENSDARG00000057039	si:ch211-191j22.8														0.6	2	2	2	2
ENSDARG00000057042	tm2d1	310	251	24	19	9	7	10	15	16	17	14	13	12	16	16	17	16	17
ENSDARG00000057049	kcnk18	0.6	2	0.8							0.6	2	2	1	2	2	3	2	2
ENSDARG00000057053	zgc:91976	12	13	31	32	15	3	3	6	6	4	7	8	7	6	7	12	15	18
ENSDARG00000057054	lrit3b											0.5							
ENSDARG00000057055	ndufs8b		1	4			6	1	2	4	6	2					1	0.8	
ENSDARG00000057058	minpp1a	1	2	5	6	5	2	3	6	17	12	15	14	14	11	13	16	16	15
ENSDARG00000057060	tvp23b	7	5	6	5	11	21	30	38	32	26	28	25	22	23	25	25	24	20
ENSDARG00000057062	si:dkey-157g16.6	1	3	9	8	3	0.9	1	3	42	31	52	64	61	40	20	8	10	8
ENSDARG00000057064	enpep	2	4	4	15	7	0.9				0.6	2	4	3	2	3	13	31	26
ENSDARG00000057074	rpgrb	1	3	4	3	2	1	1	1	5	4	3	3	2	2	4	6	6	7
ENSDARG00000057075	lamtor3	48	22	3	4	0.6	6	10	13	20	17	20	16	13	16	14	15	14	11
ENSDARG00000057089	ftsj1	84	146	92	95	96	52	19	12	24	24	23	18	13	9	10	10	13	11
ENSDARG00000057093	kdm5ba	14	22	63	73	38	24	37	58	45	34	37	32	31	38	44	35	42	43
ENSDARG00000057096	ndr1	3	2	4	11	33	21	4	0.6										
ENSDARG00000057098	htr1ab									0.5	0.5	1	1	2	0.6	1	1	2	3
ENSDARG00000057099	papss1	18	36	58	61	38	34	30	26	34	26	33	30	26	25	21	19	14	7
ENSDARG00000057100	zwilch	3	4	53	58	47	33	20	18	34	27	26	26	20	15	11	6	7	3
ENSDARG00000057101	rnf180	118	98	138	132	85	29	22	15	7	6	4	4	4	3	4	3	3	3
ENSDARG00000057105	nle1	2	4	21	27	29	38	41	53	68	57	40	25	16	17	9	11	10	10
ENSDARG00000057107	si:ch73-383g2.1	0.4	2	4	3	2	0.3	0.2	0.3				0.2	0.6	1	1	1	1	2
ENSDARG00000057108	serpine3										1	2	2	0.6	0.7	0.9	2	1	1
ENSDARG00000057110	slc25a1a	231	188	167	149	133	39	21	21	31	32	30	20	15	24	22	16	14	15
ENSDARG00000057113	c6							0.4	1	3	3	6	11	10	8	6	5	5	5
ENSDARG00000057114	hpf1	526	481	330	253	169	90	82	78	99	88	75	73	58	47	26	20	18	12
ENSDARG00000057121	c7b						0.3	0.5	6	12	3	8	12	4		0.6	4	6	5
ENSDARG00000057125	pld1b			0.2	0.2		0.4	2	5	5	4	5	5	5	4	4	6	10	11
ENSDARG00000057128	hadhaa	24	49	68	47	25	8	4	4	7	12	10	12	12	11	14	19	20	15
ENSDARG00000057138	zgc:174164	28	17	14	15	4	4	11	21	6	4	5	5	5	3	3	3	5	4
ENSDARG00000057141	zgc:110045									0.4	0.8	4	5	9	23	27	19	18	22
ENSDARG00000057142	zgc:194252					2	2		1	1		0.8	0.8	1	1				
ENSDARG00000057143	nradd					11	44	52	134	275	133	77	34	21	14	10	9	8	3
ENSDARG00000057148	mocos			0.2	0.2	0.4		0.4	1	4	3	4	9	8	5	4	2	2	2
ENSDARG00000057151	prep	5	7	20	26	16	15	16	22	20	16	20	24	22	22	20	15	14	12
ENSDARG00000057159	ankrd29	4	4	4	3	2	1			1	1	1	1	1	3	5	9	9	8
ENSDARG00000057166	lrmda	4	5	7	6	3	2	0.5	0.3	0.6		0.3	2	1	0.7	1	0.9	2	1
ENSDARG00000057167	eif4g2b	335	324	490	438	462	469	503	438	370	255	247	218	203	194	160	140	126	130
ENSDARG00000057169	abca4a	0.3	0.6	0.6	0.9	0.8	0.3	0.1	0.6	1	1	1	1	0.6	0.6	0.5	4	5	6
ENSDARG00000057173	ifit8				0.3	0.8	2	0.9	0.4										
ENSDARG00000057180	il17c					1	2	1	1										
ENSDARG00000057184	C2H7orf25	12	18	87	82	34	5	3	1	1	3	6	11	13	14	13	13	9	7
ENSDARG00000057206	nmt1b				0.5				2	5	2	11	23	22	12	15	6	7	4
ENSDARG00000057209	plppr5a										0.4	1	2	2	1	1	4	4	2
ENSDARG00000057210	has3						0.2		0.1	0.1	0.4	0.5	3	3	2	2	2	1	1
ENSDARG00000057218	tbc1d15		0.4	0.4	0.8	1	5	9	19	11	10	11	11	10	9	13	12	16	19
ENSDARG00000057227	si:dkey-222b8.4	0.1	0.2	1	1	0.7	0.4			0.9	1	0.6	0.7	0.4	0.5	0.6	2	2	2
ENSDARG00000057230	ENSDARG00000057230	0.3	0.5	1	0.3	1	0.4	0.3	0.4	2	0.7	1	2	2	0.5	0.9	2	2	1
ENSDARG00000057231	rorca	3	5	11	14	4	4	6	7	0.9	1	3	3	5	4	5	19	34	42
ENSDARG00000057234	chtopa	146	162	276	331	313	348	295	177	121	133	141	100	76	95	63	50	43	36
ENSDARG00000057238	si:dkey-30k6.5	18	39	113	140	39	23	21	22	14	11	10	8	7	7	5	4	5	5
ENSDARG00000057239	tph2							0.4		0.7	0.6	0.6	0.4	0.9	2	3	4	4	5
ENSDARG00000057241	tnfsf10	2	5	6	7	1	0.9	0.4	0.5	3	5	8	12	12	15	19	18	23	23
ENSDARG00000057245	im:7138535	5	8	11	8	2	2	3	2	7	5	3	4	4	3	5	8	7	7
ENSDARG00000057248	sclt1	2	5	37	35	36	21	24	29	23	18	13	11	10	11	7	6	5	7
ENSDARG00000057249	zmynd11	96	92	106	102	49	14	13	19	39	45	43	28	25	41	25	25	26	27
ENSDARG00000057255	emc1	49	47	102	105	65	29	21	27	44	41	47	45	35	38	32	35	29	20
ENSDARG00000057262	si:dkey-91i10.3					0.3										0.4	10	17	13
ENSDARG00000057263	zgc:173729				1		0.6	0.6					0.4				0.7	2	2
ENSDARG00000057272	slc30a9	12	32	65	87	23	6	7	7	14	16	19	19	18	26	23	30	25	18
ENSDARG00000057273	alox5a						0.8	0.3	0.4	0.4	0.7	1	2	3	2	1	0.4	2	2
ENSDARG00000057276	iqca1					0.3	0.2	0.4	2	4	3	4	5	2	2	1	2	1	1
ENSDARG00000057286	swap70b	50	45	60	59	54	31	16	17	21	11	11	10	8	8	7	11	10	10
ENSDARG00000057287	slc25a16	0.5	2	5	3	9	21	20	29	37	26	38	21	17	20	15	22	20	18
ENSDARG00000057296	cbln1	2	3	5	5	5	1	4	0.5		0.4	1	3	7	11	21	39	40	38
ENSDARG00000057299	pbdc1	2	25	32	39	43	46	49	78	128	121	105	94	68	64	54	47	49	58
ENSDARG00000057303	galnt7	14	18	40	41	35	29	24	22	33	31	37	37	40	31	31	32	37	32
ENSDARG00000057315	rwdd3	0.6	1	7	5	6	6	8	7	6	8	8	8	5	5	5	7	5	4
ENSDARG00000057317	nexn									11	33	80	133	76	51	43	48	38	35
ENSDARG00000057321	tut1	5	7	54	32	37	40	41	31	40	30	28	19	14	15	9	6	6	4
ENSDARG00000057322	tmem47	0.5	2	9	10	5	1	0.7	0.6	11	20	25	29	42	41	31	28	27	24
ENSDARG00000057323	e2f8	13	26	58	59	101	144	183	117	58	36	39	46	39	32	19	14	11	5
ENSDARG00000057328	cth1	4033	3152	1953	1434	375	109	41	7	1	2	1	1	0.5		1			
ENSDARG00000057331	kcnk7		1	0.6	1	1									1	0.7	0.6	0.7	2
ENSDARG00000057334	cmasa	26	24	20	16	8	7	9	15	24	25	28	30	28	26	25	26	25	19
ENSDARG00000057352	slc25a29			0.6	0.2	1	3	2	1	0.5	0.4	0.7	0.5	0.4	0.4	0.2	0.9	1	2
ENSDARG00000057353	ehbp1l1a	0.1	0.3	0.8	0.8	0.3	0.2	0.1	0.1	0.1	0.1	0.5	2	4	6	3	4	6	7
ENSDARG00000057365	elovl8b	3	8	6	12	8	3	6	6	5	2	2	10	6	1	3	4	2	2
ENSDARG00000057368	rps8b	2	3	2	3				0.7	1	1			0.6	1	1	9	15	14
ENSDARG00000057374	sfxn3	16	20	33	31	7	2	0.8	1	4	2	4	5	5	5	6	12	13	12
ENSDARG00000057378	selenou1a	12	28	14	30	28	23	19	16	25	39	48	41	38	58	53	60	58	58
ENSDARG00000057392	lrrc31	0.4	2	5	8	6	2	0.8	0.8			0.3	0.5	0.4		0.4	2	4	2
ENSDARG00000057394	rab33a	1	2	8	12	9	5	2	3	6	7	6	6	6	11	10	10	8	8
ENSDARG00000057395	si:ch211-130m23.3															0.8	3	3	3
ENSDARG00000057403	CR847953.1					3	26	33	20	18	16	21	30	31	35	26	17	15	15
ENSDARG00000057408	CABZ01067232.1																5	22	30
ENSDARG00000057410	rxfp3																0.7	1	1
ENSDARG00000057414	phb	147	132	156	172	170	167	160	145	140	145	172	156	147	185	120	156	115	74
ENSDARG00000057417	nudt13	2	5	2	2	3	3	3	2	5	4	2	4	3	2	2	2	4	2
ENSDARG00000057419	slc44a5b	4	7	12	13	6	3	2	2	4	5	8	11	12	15	9	8	10	12
ENSDARG00000057426	oard1	2	6	35	43	14	4	3	3	5	3	5	4	3	1	3	2	4	3
ENSDARG00000057427	sv2ba													0.3	0.2	0.4	47	35	24
ENSDARG00000057429	arg1																2	4	5
ENSDARG00000057433	st6galnac5b	2	2	3	2	0.9	0.4		0.4	4	2	5	9	6	4	3	3	5	4
ENSDARG00000057435	amacr	23	35	41	34	29	12	4	1	2	1	2	2	2	4	2	5	6	3
ENSDARG00000057437	apodb		0.8	0.9	0.9	2	8	3	7	21	30	40	26	34	26	28	67	63	63
ENSDARG00000057439	phf1																0.8	0.9	2
ENSDARG00000057440	si:dkey-228d14.5	0.6	0.2	0.3	0.5			0.6	0.9	0.7	0.7	1	0.8	1	1	1	3	4	3
ENSDARG00000057452	ston2	3	5	10	10	10	7	7	18	36	27	24	20	18	15	15	23	24	23
ENSDARG00000057456	ppp3ccb	6	9	41	62	31	9	8	16	36	35	50	53	47	51	42	53	46	37
ENSDARG00000057460	crygm2d13												2	60	210	880	1657	1372	1721
ENSDARG00000057465	gfpt1	20	22	21	20	14	52	57	77	46	19	23	26	25	18	22	25	19	17
ENSDARG00000057468	kcnc2	3	9	16	17	11	2	0.9							0.6	0.7	4	4	4
ENSDARG00000057477	lrrc28	0.5	0.3	2	0.7	2	3	4	4	4	4	4	3	3	4	4	4	4	4
ENSDARG00000057481	RNF157			0.2	0.2	6	4	3	2	1	2	3	4	4	5	10	16	18	18
ENSDARG00000057484	srsf2a	466	491	302	317	463	744	778	774	557	441	375	296	219	231	146	116	109	103
ENSDARG00000057491	n4bp1	7	14	93	100	50	20	22	17	11	8	8	9	7	9	8	9	8	9
ENSDARG00000057497	stk35l	249	208	131	143	177	74	42	39	25	27	27	18	14	17	20	17	16	17
ENSDARG00000057498	habp2										0.3		1	3	0.4	3	4	13	15
ENSDARG00000057504	si:dkey-202g17.3												2	4	8	9	12	11	8
ENSDARG00000057513	mdm4	47	68	123	103	15	11	11	15	34	36	42	31	32	37	30	30	31	31
ENSDARG00000057519	pcdh1g9										0.1	0.2	0.5	0.5	0.9	2	4	3	3
ENSDARG00000057527	mef2ab		0.8	2	5	2	1			0.5	0.4	0.5	1	0.9	0.5	1	9	8	8
ENSDARG00000057529	itpa	34	35	38	35	16	15	8	6	28	42	49	38	31	35	28	25	20	12
ENSDARG00000057531	pgap3	26	32	45	37	55	81	64	49	8	2	2	3	4	2	2	5	4	5
ENSDARG00000057556	rpl17	149	155	67	84	113	271	308	486	931	1361	1249	1118	1188	1059	1036	795	820	919
ENSDARG00000057562	polr3c	3	19	69	60	39	22	20	24	28	20	17	14	11	9	7	7	8	7
ENSDARG00000057568	nefla	2	0.8	1	0.8	1	0.7	0.6		0.4	0.3	0.3	0.3	1	2	3	7	10	10
ENSDARG00000057571	pgam2										2	20	89	242	350	304	272	205	177
ENSDARG00000057575	pnp4a			0.4	1	18	166	138	50			1	12	16	25	41	60	35	24
ENSDARG00000057577	mbtps2	5	12	29	34	31	14	13	14	20	19	19	14	13	18	14	12	15	15
ENSDARG00000057583	prrc2c	4	9	34	25	25	44	54	59	44	37	40	37	29	33	22	18	18	16
ENSDARG00000057586	sall3b				0.1	2	10	9	4	3	4	6	7	10	15	14	8	7	6
ENSDARG00000057590	si:ch1073-396h14.1	0.5	0.9	2	2	0.8	0.7			0.4	1	2	4	6	3	6	3	3	3
ENSDARG00000057598	s100b							0.8	3	1	4	2	1	4	4	9	28	22	19
ENSDARG00000057606	arl4ca									0.9	3	7	9	9	6	11	19	22	22
ENSDARG00000057610	cdkn2c			0.3	0.4	0.4			0.8	1	2	2	2	3	3	3	2	3	1
ENSDARG00000057620	nitr3b	6	4	2	4	0.9													
ENSDARG00000057624	cops5	11	26	68	57	30	24	21	32	60	58	64	66	56	62	50	48	43	30
ENSDARG00000057625	dusp14			0.7	1	0.7				8	5	5	3	2	2	5	11	11	11
ENSDARG00000057626	josd2	51	43	48	49	16	8	7	15	22	21	25	20	14	16	19	27	27	26
ENSDARG00000057630	galm		4	10	10	10	12	9	8	3	5	9	15	12	4	8	10	16	12
ENSDARG00000057632	ppp1r42	2	4	9	12	3	0.6			0.5	2	2	0.7	1	2	0.5	0.6	1	1
ENSDARG00000057633	cxcr4a	0.9	2	7	10	174	206	159	107	30	27	21	25	15	9	8	4	3	3
ENSDARG00000057635	wdr34	1	2	8	8	8	4	4	4	4	5	7	6	7	9	5	4	3	3
ENSDARG00000057644	adam8b	1	3	0.5	1	2	0.4	0.3	0.2	0.5	0.4	0.9	2	1	0.8	1	2	2	2
ENSDARG00000057648	dnttip2	65	102	217	207	197	228	235	212	174	100	101	64	37	35	19	22	20	25
ENSDARG00000057649	satb1a	4	7	10	9	7	14	9	2	2	2	2	3	3	6	7	6	5	5
ENSDARG00000057652	dbpb	4	5	8	9	3	0.5	0.6	0.4	2	2	2	2	1	1	1	18	26	36
ENSDARG00000057660	dhx57	6	8	37	29	12	4	3	5	14	9	12	8	8	11	6	7	6	4
ENSDARG00000057661	aldoca																10	13	14
ENSDARG00000057665	sprn2													2	2	6	10	14	18
ENSDARG00000057669	ENSDARG00000057669							0.7	0.9	3	1	1	1	0.8	0.7	3	11	13	18
ENSDARG00000057671	epas1b	0.7	2	7	5	4	1	0.6	0.6	0.4	0.5	1	2	3	4	5	13	21	19
ENSDARG00000057672	plpp5	258	215	152	103	39	11	7	10	38	37	36	34	29	35	30	31	26	19
ENSDARG00000057676	golga7	258	242	157	155	127	157	93	70	79	70	63	61	56	58	52	55	46	41
ENSDARG00000057677	neu4					0.3						0.3	0.8	0.3		0.3		0.3	
ENSDARG00000057678	sfrp1b						0.6		1	1	0.5	1	3	2	3	7	8	9	8
ENSDARG00000057679	sh2b1	29	39	33	23	14	14	16	17	20	20	23	17	19	26	21	22	26	27
ENSDARG00000057680	foxj2	1	2	17	20	7	0.9	0.5	0.8	2	3	4	5	5	5	6	9	9	11
ENSDARG00000057681	si:ch211-266o15.1	19	27	87	79	48	35	55	68	42	32	35	31	29	29	23	16	16	15
ENSDARG00000057683	mcm6		0.2	0.3	2	13	57	74	118	225	172	188	194	131	96	57	34	36	27
ENSDARG00000057687	sbk3												0.6	1	3	4	9	4	5
ENSDARG00000057688	ical1	22	32	76	79	60	21	9	12	8	6	7	8	7	5	8	12	13	11
ENSDARG00000057691	srsf1a	956	770	506	504	687	994	1014	1006	621	463	437	353	294	307	201	136	114	91
ENSDARG00000057698	ctsd	323	295	342	299	291	246	212	175	137	156	157	324	290	168	204	175	196	183
ENSDARG00000057699	styx	164	165	113	113	78	54	52	52	64	54	42	31	21	31	20	17	14	13
ENSDARG00000057706	si:ch211-137i24.10							0.8		0.8				0.9	0.8	5	36	51	34
ENSDARG00000057707	zgc:66443	97	111	256	264	139	55	42	39	23	19	17	12	12	11	8	7	7	7
ENSDARG00000057708	phtf1	22	32	43	78	37	11	11	13	20	18	22	19	18	15	19	19	23	21
ENSDARG00000057714	cmah						0.3	0.2	0.3	3	5	9	9	8	5	8	17	27	25
ENSDARG00000057719	atl2	164	180	165	155	59	11	10	16	29	20	23	21	22	25	18	22	27	21
ENSDARG00000057728	slc17a8															0.9	2	3	3
ENSDARG00000057729	ephb6	0.7	4	11	14	9	3	1	1	0.2	1	2	3	3	6	5	5	5	6
ENSDARG00000057736	ano10a	7	18	44	40	43	20	6	5	8	8	14	25	26	17	24	26	26	19
ENSDARG00000057737	rxraa			0.2	0.3	0.1				5	10	14	12	8	7	7	15	18	17
ENSDARG00000057738	hells	121	111	100	89	28	28	38	60	106	94	99	80	58	43	24	17	14	9
ENSDARG00000057741	nr1h4	2	2	1	0.9											0.8	7	9	9
ENSDARG00000057743	si:dkey-10f21.4	27	27	20	16	4	0.8	0.4				0.6	4	5	6	5	3	3	3
ENSDARG00000057751	zbtb47a	0.5	1	3	3	0.9										1	3	1	1
ENSDARG00000057767	nudt4a	16	21	41	41	50	25	11	8	15	6	10	10	15	16	19	26	31	38
ENSDARG00000057769	pimr55										0.5	1	0.9	0.9	0.7				
ENSDARG00000057772	7-Mar	21	20	45	36	11	8	12	17	21	18	16	16	15	18	14	14	15	16
ENSDARG00000057782	baz2ba	6	10	24	20	11	4	9	28	34	33	38	35	40	62	53	32	30	32
ENSDARG00000057787	itgae.2												0.1		0.1	0.1	0.4	0.7	0.8
ENSDARG00000057789	lyz										1	2	20	87	93	189	73	82	105
ENSDARG00000057790	ankrd6a							4	14				0.3				7	6	6
ENSDARG00000057792	cx52.7																0.8	0.5	0.9
ENSDARG00000057805	mrpl28	225	220	140	125	80	58	60	54	72	67	80	69	64	72	48	53	55	43
ENSDARG00000057826	si:ch73-61d6.3	0.1	0.2	2	3	2	1	1	0.9	2	4	6	6	7	7	8	13	18	19
ENSDARG00000057830	dnmt3bb.2	15	17	57	63	68	140	194	191	95	56	46	36	23	16	9	4	3	2
ENSDARG00000057833	gulp1b	1	0.6							1	3	5	5	6	4	3	4	4	4
ENSDARG00000057853	atp6v0ca	44	46	171	185	166	207	219	267	362	362	406	433	391	372	355	434	409	321
ENSDARG00000057854	sap18	180	274	230	263	353	498	483	428	289	253	189	128	111	122	89	67	50	40
ENSDARG00000057855	mrps31	16	29	56	74	38	18	19	30	58	56	58	53	44	46	37	44	35	30
ENSDARG00000057857	arfrp1	10	12	15	17	16	12	11	10	16	7	13	14	13	10	11	11	12	9
ENSDARG00000057859	hoxd10a									10	28	21	15	17	17	14	10	11	7
