		Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
Phase_I_oxygenases	aldh8a1	ENSDARG00000036776	aldh8a1	3	3	5	4	3	2	1		2	1	5	17	10	3	7	27	26	16
Phase_I_oxygenases	aldh9a1a.1																				
Phase_I_oxygenases	aldh9a1a.1	ENSDARG00000069100	aldh9a1a.1	120	144	162	152	178	174	204	141	39	26	48	133	172	90	172	192	227	331
Phase_I_oxygenases	aldh9a1a.2																				
Phase_I_oxygenases	aldh9a1a.2	ENSDARG00000055331	aldh9a1a.2	1	2	2	2	1	7	7	6	2	0.9	1	2	2	0.9	2	2	2	3
Phase_I_oxygenases	aldh9a1b	ENSDARG00000037061	aldh9a1b	12	13	41	41	41	36	25	14	35	29	34	43	35	18	21	22	19	12
Phase_I_oxygenases	cyp1a	ENSDARG00000098315	cyp1a	0.6	0.8	0.3	0.4					0.3	2	6	6	6	7	3	8	23	25
Phase_I_oxygenases	cyp1b1																				
Phase_I_oxygenases	cyp1b1	ENSDARG00000068934	cyp1b1					3					0.7	0.8	0.9	4	15	5	2	2	1
Phase_I_oxygenases	cyp1c1	ENSDARG00000101195	ENSDARG00000101195								0.3	1	0.3	0.4	3	1	2	5	9	10	12
Phase_I_oxygenases	cyp1c2	ENSDARG00000101789	cyp1c2											0.1			0.7	2	2	2	2
Phase_I_oxygenases	cyp1d1	ENSDARG00000035569	cyp1d1	5	5	8	7	10	10	11	11	8	11	10	6	7	11	11	16	22	20
Phase_I_oxygenases	cyp2aa1	ENSDARG00000099003	cyp2aa1								0.9	3	5	10	9	8	4	6	10	22	28
Phase_I_oxygenases	cyp2aa11	ENSDARG00000103456	cyp2aa11						0.5	1	2	9	14	12	11	8	7	5	1	2	5
Phase_I_oxygenases	cyp2aa12	ENSDARG00000102805	cyp2aa12					1	2	2	3	4	3	2	3	2	2	2	3	14	19
Phase_I_oxygenases	cyp2aa2	ENSDARG00000104811	cyp2aa2					2	9	15	20	7	6	5	5	6	5	6	7	9	4
Phase_I_oxygenases	cyp2aa3	ENSDARG00000103347	cyp2aa3				0.6	1	8	36	142	70	26	27	74	48	21	28	16	5	2
Phase_I_oxygenases	cyp2aa4	ENSDARG00000098803	cyp2aa4				0.8	24	45	74	68	67	33	47	90	34	13	35	31	7	4
Phase_I_oxygenases	cyp2aa6	ENSDARG00000103590	cyp2aa6									5	10	15	7	6	5	7	8	8	8
Phase_I_oxygenases	cyp2aa7	ENSDARG00000103766	cyp2aa7									0.5	1	0.6	2	0.6	2	1	1	4	3
Phase_I_oxygenases	cyp2aa8	ENSDARG00000104540	cyp2aa8					10	31	46	29	33	27	35	63	38	7	17	7	3	3
Phase_I_oxygenases	cyp2aa9	ENSDARG00000098890	cyp2aa9				0.9	1	2	10	48	40	13	24	51	28	3	11	6	3	0.9
Phase_I_oxygenases	cyp2ad2	ENSDARG00000021172	cyp2ad2																3	65	89
Phase_I_oxygenases	cyp2ad3	ENSDARG00000022650	cyp2ad3	1	2	4	3	2	0.5	0.4	2	3	4	5	8	12	16	21	46	101	138
Phase_I_oxygenases	cyp2ad6	ENSDARG00000042956	cyp2ad6		0.4												0.5	0.5	2	16	32
Phase_I_oxygenases	cyp2ae1	ENSDARG00000013524	cyp2ae1			2	4	2	0.4	0.4		0.6	0.4	0.4	0.8	0.8	0.9	1	2	3	3
Phase_I_oxygenases	cyp2j20	ENSDARG00000094057	cyp2j20	0.7	0.5			0.6	0.5		0.5	1	0.9		0.7	1	0.9	0.6	3	2	3
Phase_I_oxygenases	cyp2k16	ENSDARG00000102981	cyp2k16						0.7	1	4	14	13	15	14	8	3	5	18	27	13
Phase_I_oxygenases	cyp2k17	ENSDARG00000104529	cyp2k17																0.5	0.8	1
Phase_I_oxygenases	cyp2k18	ENSDARG00000104593	cyp2k18			0.8		0.4	0.7	0.8	0.4			0.3		0.3			6	38	25
Phase_I_oxygenases	cyp2k19	ENSDARG00000101861	cyp2k19						0.3	0.2	0.2								5	16	16
Phase_I_oxygenases	cyp2k20																				
Phase_I_oxygenases	cyp2k21	ENSDARG00000105151	cyp2k21																1	3	3
Phase_I_oxygenases	cyp2k22																				
Phase_I_oxygenases	cyp2k6	ENSDARG00000009874	cyp2k6									0.5									
Phase_I_oxygenases	cyp2k6	ENSDARG00000098995	cyp2k6						0.3	0.6	0.7									0.7	
Phase_I_oxygenases	cyp2k8	ENSDARG00000101190	cyp2k8					0.9	16	28	29	7	4	3	4	5	4	4	5	6	5
Phase_I_oxygenases	cyp2n13	ENSDARG00000042953	cyp2n13															0.4	2	78	119
Phase_I_oxygenases	cyp2p10	ENSDARG00000042990	cyp2p10	25	31	27	36	16	7	8	13	21	23	20	16	14	11	10	11	8	10
Phase_I_oxygenases	cyp2p6	ENSDARG00000042978	cyp2p6			1	0.5	1	3	3	2	2	2	2	3	2	0.8	2	6	17	25
Phase_I_oxygenases	cyp2p7	ENSDARG00000042980	cyp2p7			1	1	5	25	17	14	5	3	3	3	2	3	0.9	2	10	14
Phase_I_oxygenases	cyp2p8	ENSDARG00000042982	cyp2p8		0.5	1	1	1	3	0.8	1	1			1	0.9		0.9	12	59	45
Phase_I_oxygenases	cyp2p9	ENSDARG00000022631	cyp2p9					1	2	0.4	0.4	3	0.7	1	3	2	0.9	3	10	20	16
Phase_I_oxygenases	cyp2r1	ENSDARG00000056587	cyp2r1	4	21	29	28	13	1	0.3	0.3	1	0.8	1	1	2	3	4	4	9	7
Phase_I_oxygenases	cyp2u1	ENSDARG00000026548	cyp2u1		0.5	3	3	3				0.4		0.4		0.5	0.5	1	2	4	7
Phase_I_oxygenases	cyp2v1	ENSDARG00000018485	cyp2v1	9	9	19	13	5	2	2	5	5	7	9	16	13	8	12	16	25	25
Phase_I_oxygenases	cyp2x10.2																				
Phase_I_oxygenases	cyp2x10.2	ENSDARG00000006501	cyp2x10.2												0.6	0.4		1	3	3	2
Phase_I_oxygenases	cyp2x10.2	ENSDARG00000068283	cyp2x10.2																0.5	0.4	0.6
Phase_I_oxygenases	cyp2x12	ENSDARG00000092091	cyp2x12																0.4	0.4	1
Phase_I_oxygenases	cyp2x6																				
Phase_I_oxygenases	cyp2x6	ENSDARG00000079653	cyp2x6					3	68	94	80	8	2	0.8	0.9	0.4					
Phase_I_oxygenases	cyp2x7																				
Phase_I_oxygenases	cyp2x7	ENSDARG00000044002	cyp2x7	8	14	33	50	19	6	9	13	8	4	7	15	13	6	8	5	3	2
Phase_I_oxygenases	cyp2x8																				
Phase_I_oxygenases	cyp2x8	ENSDARG00000043997	cyp2x8						1	1		0.4								7	11
Phase_I_oxygenases	cyp2x9																				
Phase_I_oxygenases	cyp2x9	ENSDARG00000070775	cyp2x9																5	23	14
Phase_I_oxygenases	cyp2y3	ENSDARG00000068493	cyp2y3		0.5	0.6		1	2	0.9	0.5							0.5	4	27	23
Phase_I_oxygenases	cyp2y3	ENSDARG00000101423	cyp2y3		0.7	3	2	33	79	109	121	65	42	70	74	57	27	39	47	101	77
Phase_I_oxygenases	cyp3a65	ENSDARG00000103295	cyp3a65							0.3	0.5	0.3	0.3	0.4	0.2	0.5	0.3	0.7	9	220	641
Phase_I_oxygenases	cyp3c1	ENSDARG00000015575	cyp3c1	30	31	29	22	10	3	5	7	12	10	12	16	13	10	15	32	53	61
Phase_I_oxygenases	cyp3c3	ENSDARG00000037873	cyp3c3	0.6	0.4	0.8	0.3	0.4	1	1	5	2	0.6	2	2	1	0.5		2	33	42
Phase_I_oxygenases	cyp3c3	ENSDARG00000037874	cyp3c3						0.6		2	2	0.8	1	0.8				0.5	2	2
Phase_I_oxygenases	cyp3c4	ENSDARG00000070021	cyp3c4						0.4	0.6		0.8	0.8	1	1	0.7	2	1	3	25	26
Phase_I_oxygenases	cyp4f3	ENSDARG00000053530	cyp4f3																	0.8	0.6
Phase_I_oxygenases	cyp4t8																				
Phase_I_oxygenases	cyp4t8	ENSDARG00000004964	cyp4t8	0.7	0.4	0.4	0.5	0.7		0.9		1	8	33	48	31	16	1	5	19	25
Phase_I_oxygenases	cyp4v7																				
Phase_I_oxygenases	cyp4v7	ENSDARG00000061585	cyp4v7		0.1		0.3	0.9	1	1	0.8	0.3	0.3	0.1	0.2	0.3	0.1	0.1	3	7	12
Phase_I_oxygenases	cyp4v8																				
Phase_I_oxygenases	cyp4v8	ENSDARG00000062132	cyp4v8										0.2		0.4	2	2	6	16	32	47
Phase_I_oxygenases	fmo5																				
Phase_I_oxygenases	fmo5	ENSDARG00000016357	fmo5	3	3	9	7	6	6	6	12	35	29	39	35	22	19	10	12	23	20
Phase_I_oxygenases	ptgs1	ENSDARG00000052148	ptgs1			1	2	0.9	0.4	0.5	0.4	61	32	27	22	14	8	10	13	12	13
Phase_I_oxygenases	ptgs2a	ENSDARG00000004539	ptgs2a					6	30	17	8	33	27	25	20	17	12	18	32	21	28
Phase_I_oxygenases	ptgs2b	ENSDARG00000010276	ptgs2b		0.3			1	21	25	16	9	3	3	1	0.9	1	5	10	13	9
Phase_I_reductases	akr1a1a																				
Phase_I_reductases	akr1a1a	ENSDARG00000035257	akr1a1a										0.6	3	15	22	8	18	10	9	5
Phase_I_reductases	akr1a1b																				
Phase_I_reductases	akr1a1b	ENSDARG00000052030	akr1a1b	6	10	32	46	37	33	17	19	32	34	43	50	43	38	29	27	29	24
Phase_I_reductases	akr1b1	ENSDARG00000006215	akr1b1.1						0.7		0.6	5	7	18	55	88	80	71	44	94	111
Phase_I_reductases	akr7a3	ENSDARG00000016649	akr7a3	10	17	26	36	25	17	10	10	15	21	19	26	23	24	19	28	39	39
Phase_I_reductases	ephx1	ENSDARG00000042854	ephx1	2	4	24	30	15	3	2	2	6	7	10	8	6	6	4	14	24	21
Phase_I_reductases	ephx2	ENSDARG00000040255	ephx2	1	5	13	13	14	16	13	10	6	4	5	11	11	8	8	20	47	47
Phase_I_reductases	ephx4																				
Phase_I_reductases	ephx4																				
Phase_I_reductases	ephx4	ENSDARG00000099515	ephx4	3	0.8	2	0.7	1		0.4		0.8				0.3	1	3	6	7	8
Phase_I_reductases	ephx5	ENSDARG00000103298	ephx5	10	9	26	48	49	32	28	18	11	3	6	9	6	3	3	13	20	17
Phase_I_reductases	hsd11b1la																				
Phase_I_reductases	hsd11b1la	ENSDARG00000071377	hsd11b1la		1	0.6	2	2	6	12	12	12	14	8	14	13	7	12	30	42	27
Phase_I_reductases	hsd11b1lb																				
Phase_I_reductases	hsd11b2	ENSDARG00000001975	hsd11b2	0.4							0.8	2	0.5	1	1	5	11	17	36	38	29
Phase_I_reductases	hsd17b1																				
Phase_I_reductases	hsd17b10	ENSDARG00000017781	hsd17b10	38	90	112	134	135	154	103	62	32	43	52	61	61	69	43	57	60	51
Phase_I_reductases	hsd17b12a	ENSDARG00000015709	hsd17b12a	153	165	241	269	218	452	422	383	83	32	37	33	25	22	19	36	25	16
Phase_I_reductases	hsd17b12b	ENSDARG00000035872	hsd17b12b	67	58	66	73	21	10	7	5	18	20	19	14	12	20	15	31	39	23
Phase_I_reductases	hsd17b14	ENSDARG00000054842	hsd17b14	0.4	0.6	0.6	0.7	10	97	123	119	33	17	15	20	11	5	6	8	9	7
Phase_I_reductases	hsd17b2	ENSDARG00000045553	hsd17b2	1	1	1	2	2	5	3	4	16	9	6	3	2	2	2	2	2	2
Phase_I_reductases	hsd17b3																				
Phase_I_reductases	hsd17b3																				
Phase_I_reductases	hsd17b3	ENSDARG00000023287	hsd17b3								0.4	2	1	0.9	1	0.7	0.4	0.3	0.9	0.7	0.9
Phase_I_reductases	hsd17b4	ENSDARG00000101239	hsd17b4	4	12	14	18	7	1	0.8	2	8	6	9	10	9	10	10	22	39	43
Phase_I_reductases	hsd17b7	ENSDARG00000088140	hsd17b7			3	1	2	0.4	0.5	0.5	3	7	9	11	10	8	9	13	15	8
Phase_I_reductases	hsd17b8	ENSDARG00000001169	hsd17b8	5	7	12	14	10	4	2	0.5	0.4	0.8	0.5	0.6	2	2	3	6	5	5
Phase_I_reductases	hsd20b2																				
Phase_I_reductases	hsd20b2	ENSDARG00000031336	hsd20b2			0.3		0.6	26	32	26	4	5	7	4	4	3	6	12	15	11
Phase_I_reductases	hsd3b1	ENSDARG00000069926	hsd3b1	7	3	2	1	5	1							1	3	2	1	1	1
Phase_I_reductases	hsd3b2																				
Phase_I_reductases	hsd3b2	ENSDARG00000019747	hsd3b2	1	3	14	17	43	73	182	334	52	7	9	12	6	2	2			
Phase_I_reductases	hsd3b7																				
Phase_I_reductases	hsd3b7																				
Phase_I_reductases	hsd3b7	ENSDARG00000036966	hsd3b7	11	19	15	23	4	0.5	0.1		0.8	1	2	3	3	4	4	8	13	14
Phase_I_reductases	hsdl1	ENSDARG00000041736	hsdl1	10	8	12	11	4	2	1	2	5	5	4	4	3	5	5	4	4	6
Phase_I_reductases	hsdl2	ENSDARG00000002523	hsdl2	77	62	42	40	34	33	35	30	41	38	45	46	41	37	29	38	47	29
Phase_I_reductases	nqo1	ENSDARG00000010250	nqo1	37	26	16	16	13	105	145	186	74	44	50	100	90	47	64	80	102	74
